The NRC Affect Intensity Lexicon v0.5
www.saifmohammad.com/WebPages/AffectIntensity.htm
Contact: Saif M. Mohammad (saif.mohammad@nrc-cnrc.gc.ca)

The NRC Affect Intensity Lexicon is a list of English words and their
associations with four basic emotions (anger, fear, sadness, joy). 

Words can be associated with different intensities (or degrees) of an emotion.
For example, most people will agree that the word condemn is associated with a
greater degree of anger (or more anger) than the word irritate. However,
annotating instances for fine-grained degrees of affect is a substantially more
difficult undertaking than categorical annotation: respondents are presented
with greater cognitive load and it is particularly hard to ensure consistency
(both across responses by different annotators and within the responses produced
by the same annotator). Here, for the first time, we create an affect intensity
lexicon with real-valued scores of association using best--worst scaling.

For a given word and emotion X, the scores range from 0 to 1. A score of 1 means
that the word conveys the highest amount of emotion X.  A score of 0 means that
the word conveys the lowest amount of emotion X.

Details of the lexicon are in this paper.
Word Affect Intensities. Saif M. Mohammad. arXiv preprint arXiv, April 2017.

The lexicon has close to 6,000 entries for four basic emotions: anger, fear,
joy, and sadness. (We will soon be adding entries for four more emotions: trust,
disgust, anticipation, and surprise. We will also be adding entries for valence,
arousal, and dominance.)	It includes common English terms as well as terms
that are more prominent in social media platforms, such as Twitter. It includes
terms that are associated with emotions to various degrees. For a given emotion,
this even includes some terms that may not predominantly convey that emotion (or
that convey an antonymous emotion), and yet tend to co-occur with terms that do.
(Antonymous terms tend to co-occur with each other more often than chance, and
are particularly problematic when one uses automatic co-occurrence-based
statistical methods to capture word--emotion connotations.)

term	score	AffectDimension
buried	0.531	fear
harbinger	0.531	fear
endocarditis	0.531	fear
failing	0.531	fear
stressed	0.531	fear
punish	0.531	fear
unstable	0.531	fear
freakout	0.531	fear
incursion	0.531	fear
distrust	0.531	fear
suspense	0.529	fear
blood	0.525	fear
bear	0.524	fear
hiding	0.524	fear
unlawful	0.519	fear
crazy	0.519	fear
anxious	0.518	fear
cult	0.518	fear
captive	0.517	fear
deportation	0.517	fear
detainee	0.516	fear
enforce	0.516	fear
suspect	0.516	fear
oppress	0.516	fear
revulsion	0.516	fear
grievous	0.516	fear
fang	0.516	fear
exile	0.516	fear
insidious	0.516	fear
plunder	0.516	fear
foreboding	0.516	fear
intolerance	0.516	fear
incite	0.516	fear
sorcery	0.516	fear
emaciated	0.516	fear
shriek	0.516	fear
busted	0.516	fear
helplessness	0.516	fear
exacerbation	0.516	fear
biopsy	0.516	fear
badfeeling	0.516	fear
relapse	0.516	fear
plight	0.516	fear
growl	0.516	fear
troublesome	0.516	fear
chased	0.516	fear
embolism	0.516	fear
darkness	0.516	fear
conspirator	0.516	fear
palsy	0.516	fear
harshness	0.516	fear
unthinkable	0.516	fear
sting	0.516	fear
robber	0.516	fear
pernicious	0.516	fear
smite	0.516	fear
depression	0.508	fear
confinement	0.507	fear
snowmageddon	0.500	fear
illegal	0.500	fear
eeeek	0.500	fear
towering	0.500	fear
intolerant	0.500	fear
subvert	0.500	fear
cliff	0.500	fear
sinful	0.500	fear
wasp	0.500	fear
suppress	0.500	fear
brute	0.500	fear
prohibited	0.500	fear
suppression	0.500	fear
ruined	0.500	fear
instability	0.500	fear
constraint	0.500	fear
odious	0.500	fear
downfall	0.500	fear
surrender	0.500	fear
raving	0.500	fear
mistrust	0.500	fear
alcoholism	0.500	fear
blob	0.500	fear
frenetic	0.500	fear
scalpel	0.500	fear
vertigo	0.500	fear
prayforme	0.500	fear
infarct	0.500	fear
defiance	0.500	fear
squeamish	0.500	fear
madden	0.500	fear
premeditated	0.500	fear
hunting	0.500	fear
woe	0.491	fear
intrusion	0.484	fear
hearse	0.484	fear
lion	0.484	fear
armor	0.484	fear
hate	0.484	fear
rat	0.484	fear
syringe	0.484	fear
ravine	0.484	fear
endemic	0.484	fear
blackness	0.484	fear
divorce	0.484	fear
disgusting	0.484	fear
hallucination	0.484	fear
defamation	0.484	fear
rabble	0.484	fear
ambulance	0.484	fear
hospital	0.484	fear
worse	0.484	fear
dismay	0.484	fear
indictment	0.484	fear
dishonor	0.484	fear
poaching	0.484	fear
freakish	0.484	fear
cutting	0.484	fear
jumpy	0.484	fear
insecurity	0.484	fear
perjury	0.484	fear
lash	0.484	fear
accusing	0.484	fear
slam	0.484	fear
ravenous	0.484	fear
sonervous	0.484	fear
fiend	0.484	fear
palpitations	0.484	fear
coerce	0.484	fear
canthandleit	0.484	fear
retard	0.484	fear
cracked	0.484	fear
restriction	0.484	fear
indefensible	0.484	fear
prejudiced	0.484	fear
shiver	0.484	fear
warrior	0.484	fear
worrying	0.484	fear
flinch	0.484	fear
ohno	0.484	fear
sinner	0.483	fear
averse	0.483	fear
inspection	0.483	fear
despairing	0.474	fear
missing	0.474	fear
darken	0.471	fear
austere	0.470	fear
depressed	0.469	fear
quiver	0.469	fear
overwhelmed	0.469	fear
unhealthy	0.469	fear
decomposition	0.469	fear
toothache	0.469	fear
foreclose	0.469	fear
infidelity	0.469	fear
superstition	0.469	fear
subversion	0.469	fear
illegality	0.469	fear
animosity	0.469	fear
inmate	0.469	fear
criticize	0.469	fear
revoke	0.469	fear
accused	0.469	fear
sinking	0.469	fear
intrusive	0.469	fear
soulless	0.469	fear
thresh	0.469	fear
aftermath	0.469	fear
scrapie	0.469	fear
fierce	0.469	fear
fret	0.469	fear
nervous	0.469	fear
breakdown	0.469	fear
jaws	0.469	fear
idolatry	0.469	fear
asteroid	0.469	fear
fever	0.469	fear
admonition	0.469	fear
precipice	0.469	fear
regime	0.469	fear
armored	0.469	fear
indict	0.469	fear
startle	0.469	fear
spear	0.468	fear
worried	0.466	fear
nasty	0.466	fear
thirteenth	0.465	fear
puma	0.465	fear
contraband	0.464	fear
insecure	0.461	fear
disturbance	0.459	fear
denunciation	0.456	fear
destitute	0.455	fear
stigma	0.455	fear
powerfully	0.454	fear
derogatory	0.453	fear
batter	0.453	fear
warn	0.453	fear
rifle	0.453	fear
resign	0.453	fear
quandary	0.453	fear
scold	0.453	fear
straits	0.453	fear
disreputable	0.453	fear
spasm	0.453	fear
dinosaur	0.453	fear
restrain	0.453	fear
rigor	0.453	fear
shrill	0.453	fear
stranger	0.453	fear
disruption	0.453	fear
apprehension	0.453	fear
grope	0.453	fear
wail	0.453	fear
unspeakable	0.453	fear
howl	0.453	fear
hydrocephalus	0.453	fear
penalty	0.453	fear
omgomgomg	0.453	fear
lockup	0.453	fear
indoctrination	0.453	fear
ohgod	0.453	fear
penal	0.453	fear
orphan	0.453	fear
resisting	0.453	fear
illicit	0.453	fear
urgent	0.450	fear
arraignment	0.450	fear
tramp	0.440	fear
behemoth	0.439	fear
stress	0.439	fear
mace	0.438	fear
obstruct	0.438	fear
entangled	0.438	fear
expel	0.438	fear
perverse	0.438	fear
targeting	0.438	fear
dislocated	0.438	fear
accuser	0.438	fear
dentists	0.438	fear
yell	0.438	fear
asp	0.438	fear
forfeiture	0.438	fear
infirmity	0.438	fear
dominate	0.438	fear
tribunal	0.438	fear
aghhh	0.438	fear
predicament	0.438	fear
bewildered	0.438	fear
looming	0.438	fear
debacle	0.438	fear
stripped	0.438	fear
indomitable	0.438	fear
unprepared	0.438	fear
atrophy	0.438	fear
coldsweat	0.438	fear
rheumatism	0.438	fear
falter	0.438	fear
irreconcilable	0.438	fear
broke	0.438	fear
scarcity	0.438	fear
impermeable	0.438	fear
cabal	0.438	fear
probation	0.438	fear
wince	0.438	fear
accidental	0.438	fear
illegitimate	0.438	fear
gasping	0.438	fear
concealed	0.438	fear
displaced	0.438	fear
prick	0.438	fear
rebels	0.435	fear
insulting	0.435	fear
halting	0.435	fear
mysterious	0.435	fear
repulsion	0.431	fear
glare	0.430	fear
punitive	0.425	fear
sordid	0.425	fear
tempest	0.423	fear
stake	0.423	fear
ultimatum	0.422	fear
infamous	0.422	fear
reticent	0.422	fear
dissident	0.422	fear
coyote	0.422	fear
deleterious	0.422	fear
usurped	0.422	fear
prowl	0.422	fear
alien	0.422	fear
depress	0.422	fear
bier	0.422	fear
disappear	0.422	fear
delusion	0.422	fear
heathen	0.422	fear
anathema	0.422	fear
depresson	0.422	fear
unnatural	0.422	fear
suspension	0.422	fear
stresses	0.422	fear
troll	0.422	fear
wilderness	0.422	fear
burdensome	0.422	fear
offense	0.422	fear
hydra	0.422	fear
publicspeaking	0.422	fear
bayonet	0.422	fear
varicella	0.422	fear
lament	0.422	fear
extrajudicial	0.422	fear
bigot	0.422	fear
steal	0.422	fear
stressin	0.422	fear
unsteady	0.422	fear
thumping	0.422	fear
fainting	0.422	fear
adversity	0.418	fear
ineptitude	0.417	fear
outsider	0.413	fear
ugliness	0.410	fear
vulture	0.410	fear
immoral	0.410	fear
scar	0.406	fear
rubble	0.406	fear
weakly	0.406	fear
distressed	0.406	fear
nausea	0.406	fear
whimper	0.406	fear
stretcher	0.406	fear
dismissal	0.406	fear
ohdear	0.406	fear
penance	0.406	fear
omnipotence	0.406	fear
insolvent	0.406	fear
escape	0.406	fear
resection	0.406	fear
deport	0.406	fear
disallowed	0.406	fear
stressing	0.406	fear
disgust	0.406	fear
possession	0.406	fear
ghetto	0.406	fear
tearful	0.406	fear
dominant	0.406	fear
disorder	0.406	fear
drones	0.406	fear
wary	0.406	fear
blackout	0.406	fear
claw	0.406	fear
disabled	0.406	fear
screech	0.406	fear
stressful	0.406	fear
recklessness	0.406	fear
squall	0.406	fear
socialism	0.405	fear
conspiracy	0.400	fear
toughness	0.400	fear
defection	0.398	fear
absence	0.396	fear
moan	0.394	fear
crusade	0.392	fear
discrimination	0.391	fear
avoiding	0.391	fear
concealment	0.391	fear
overt	0.391	fear
theocratic	0.391	fear
unemployed	0.391	fear
poverty	0.391	fear
brimstone	0.391	fear
cyst	0.391	fear
radon	0.391	fear
conquer	0.391	fear
unrest	0.391	fear
separation	0.391	fear
suspicion	0.391	fear
spaz	0.391	fear
scarecrow	0.391	fear
hardened	0.391	fear
refutation	0.391	fear
repellent	0.391	fear
snare	0.391	fear
cleave	0.391	fear
gulp	0.391	fear
nervy	0.391	fear
submission	0.391	fear
procedure	0.391	fear
whatdoido	0.391	fear
xanax	0.391	fear
musket	0.391	fear
descent	0.391	fear
excitation	0.391	fear
stifled	0.391	fear
lose	0.391	fear
diagnosis	0.391	fear
urgency	0.391	fear
mental	0.391	fear
reject	0.391	fear
exigent	0.391	fear
insolvency	0.391	fear
dubious	0.391	fear
orc	0.388	fear
outcast	0.388	fear
throb	0.388	fear
disapprove	0.380	fear
dontpanic	0.378	fear
withdrawals	0.377	fear
plea	0.377	fear
kerosene	0.375	fear
bunker	0.375	fear
escaped	0.375	fear
dentistry	0.375	fear
taunt	0.375	fear
expose	0.375	fear
bad	0.375	fear
barricade	0.375	fear
bankrupt	0.375	fear
coldness	0.375	fear
frigate	0.375	fear
interrogate	0.375	fear
grieve	0.375	fear
ocd	0.375	fear
dissolution	0.375	fear
military	0.375	fear
obi	0.375	fear
sneaking	0.375	fear
chimera	0.375	fear
locust	0.375	fear
embarrassment	0.375	fear
mentalhealth	0.375	fear
sultan	0.375	fear
psychological	0.375	fear
suspected	0.375	fear
antsy	0.375	fear
obligor	0.375	fear
khan	0.375	fear
nauseous	0.375	fear
whirlpool	0.375	fear
misconception	0.375	fear
flu	0.375	fear
chasm	0.375	fear
edict	0.375	fear
pressure	0.375	fear
repellant	0.373	fear
unknown	0.369	fear
pare	0.367	fear
jealousy	0.365	fear
depreciation	0.359	fear
contempt	0.359	fear
government	0.359	fear
desert	0.359	fear
spike	0.359	fear
onedge	0.359	fear
formidable	0.359	fear
exam	0.359	fear
wasting	0.359	fear
stint	0.359	fear
sortie	0.359	fear
bottomless	0.359	fear
rejects	0.359	fear
timid	0.359	fear
burke	0.359	fear
cur	0.359	fear
jaundice	0.359	fear
revolution	0.359	fear
cautionary	0.359	fear
dart	0.359	fear
warned	0.359	fear
pessimism	0.359	fear
mug	0.359	fear
difficult	0.359	fear
measles	0.359	fear
consternation	0.359	fear
rebel	0.359	fear
recurring	0.359	fear
protestant	0.359	fear
anomaly	0.359	fear
headaches	0.359	fear
mournful	0.359	fear
mandamus	0.359	fear
concerned	0.359	fear
sectarian	0.359	fear
conquest	0.359	fear
bankruptcy	0.359	fear
constrain	0.358	fear
languishing	0.358	fear
bane	0.356	fear
warden	0.354	fear
impeach	0.354	fear
adverse	0.352	fear
lawyer	0.349	fear
libel	0.348	fear
retrenchment	0.345	fear
imminent	0.345	fear
hiss	0.344	fear
bearish	0.344	fear
loneliness	0.344	fear
obstacle	0.344	fear
discipline	0.344	fear
verdict	0.344	fear
reckless	0.344	fear
knell	0.344	fear
swerve	0.344	fear
taboo	0.344	fear
parachute	0.344	fear
sorrow	0.344	fear
hesitation	0.344	fear
servile	0.344	fear
defy	0.344	fear
launches	0.344	fear
fanaticism	0.344	fear
aaaaaaah	0.344	fear
opium	0.344	fear
shame	0.344	fear
resistant	0.344	fear
shaky	0.344	fear
eel	0.344	fear
opposed	0.344	fear
mri	0.344	fear
belittle	0.344	fear
shortage	0.344	fear
unjustifiable	0.344	fear
recession	0.344	fear
cutter	0.344	fear
evade	0.344	fear
pest	0.344	fear
psych	0.344	fear
avoidance	0.344	fear
contentious	0.344	fear
disrespectful	0.343	fear
phalanx	0.342	fear
creature	0.340	fear
specter	0.331	fear
mortgage	0.331	fear
enigmatic	0.329	fear
bugaboo	0.328	fear
shutdown	0.328	fear
spillin	0.328	fear
encumbrance	0.328	fear
caution	0.328	fear
senseless	0.328	fear
police	0.328	fear
remove	0.328	fear
dike	0.328	fear
feeling	0.328	fear
subordinate	0.328	fear
quash	0.328	fear
undesirable	0.328	fear
smut	0.328	fear
defendant	0.328	fear
supremacy	0.328	fear
loom	0.328	fear
hives	0.328	fear
mishap	0.328	fear
uhoh	0.328	fear
weirdo	0.328	fear
wrongly	0.328	fear
wimp	0.328	fear
adrift	0.328	fear
gladiator	0.328	fear
outpost	0.328	fear
ethereal	0.328	fear
dominion	0.328	fear
unlucky	0.328	fear
shank	0.328	fear
gametime	0.328	fear
unsettled	0.327	fear
scarce	0.327	fear
antisocial	0.324	fear
astray	0.320	fear
vigilant	0.319	fear
socialist	0.318	fear
halter	0.318	fear
pessimist	0.317	fear
pacing	0.316	fear
ordnance	0.312	fear
whirlwind	0.312	fear
seclusion	0.312	fear
muzzle	0.312	fear
trickery	0.312	fear
collusion	0.312	fear
nether	0.312	fear
unkind	0.312	fear
uneasy	0.312	fear
valium	0.312	fear
dentist	0.312	fear
obsessing	0.312	fear
powerful	0.312	fear
cram	0.312	fear
thorny	0.312	fear
litigate	0.312	fear
blight	0.312	fear
therapist	0.312	fear
deadline	0.312	fear
opponent	0.312	fear
ahhhhhhhh	0.312	fear
wimpy	0.312	fear
discontinuity	0.312	fear
clinical	0.312	fear
foreigner	0.312	fear
chargeable	0.312	fear
conspire	0.312	fear
bewilderment	0.312	fear
laxative	0.312	fear
unexpected	0.312	fear
overthinking	0.309	fear
doubts	0.308	fear
seriousness	0.305	fear
irrational	0.305	fear
erase	0.303	fear
teasing	0.303	fear
razor	0.303	fear
sweating	0.298	fear
medical	0.297	fear
reluctant	0.297	fear
adjudicate	0.297	fear
timidity	0.297	fear
depreciated	0.297	fear
avoid	0.297	fear
endless	0.297	fear
unsurpassed	0.297	fear
crouching	0.297	fear
deflation	0.297	fear
warning	0.297	fear
flounder	0.297	fear
giant	0.297	fear
hide	0.297	fear
bitch	0.297	fear
swamp	0.297	fear
auditor	0.297	fear
dashed	0.297	fear
inflation	0.297	fear
bale	0.297	fear
weighty	0.297	fear
mislead	0.297	fear
mage	0.297	fear
deluge	0.287	fear
disinformation	0.286	fear
court	0.284	fear
aversion	0.283	fear
mistaken	0.281	fear
cartridge	0.281	fear
cautious	0.281	fear
bigoted	0.281	fear
unfriendly	0.281	fear
wan	0.281	fear
surveillance	0.281	fear
hurryup	0.281	fear
confusion	0.281	fear
submitting	0.281	fear
flying	0.281	fear
challenge	0.281	fear
oncoming	0.281	fear
remains	0.281	fear
notready	0.281	fear
apache	0.281	fear
rush	0.281	fear
swelling	0.281	fear
yelp	0.281	fear
fortress	0.281	fear
dwarfed	0.281	fear
discourage	0.281	fear
unruly	0.281	fear
intense	0.279	fear
noncompliance	0.276	fear
alerts	0.276	fear
planes	0.274	fear
displeased	0.273	fear
cop	0.273	fear
unbridled	0.271	fear
posse	0.266	fear
blindfold	0.266	fear
force	0.266	fear
auditions	0.266	fear
operation	0.266	fear
hooded	0.266	fear
banger	0.266	fear
forgotten	0.266	fear
crouch	0.266	fear
flurries	0.266	fear
shanghai	0.266	fear
insomnia	0.266	fear
blemish	0.266	fear
problem	0.266	fear
sneak	0.266	fear
newjob	0.266	fear
uncanny	0.266	fear
hood	0.266	fear
regiment	0.266	fear
elevation	0.266	fear
cloak	0.266	fear
immerse	0.266	fear
confession	0.266	fear
acrobat	0.266	fear
cupping	0.266	fear
skid	0.266	fear
crowds	0.266	fear
belt	0.266	fear
sentence	0.266	fear
affront	0.266	fear
spur	0.262	fear
mortgagor	0.258	fear
defense	0.258	fear
hag	0.250	fear
guard	0.250	fear
run	0.250	fear
cataract	0.250	fear
unfamiliar	0.250	fear
impatiently	0.250	fear
standstill	0.250	fear
rating	0.250	fear
rascal	0.250	fear
forewarned	0.250	fear
breakingnews	0.250	fear
doubt	0.250	fear
obliging	0.250	fear
foul	0.250	fear
defend	0.250	fear
spinster	0.250	fear
repent	0.250	fear
delusional	0.250	fear
indecisive	0.250	fear
insect	0.250	fear
picket	0.250	fear
indifference	0.250	fear
sunk	0.250	fear
jobinterview	0.250	fear
react	0.250	fear
swampy	0.250	fear
scapegoat	0.250	fear
stealthy	0.250	fear
grounded	0.242	fear
badhabit	0.242	fear
highest	0.236	fear
intercede	0.234	fear
psychiatrist	0.234	fear
buck	0.234	fear
insomniac	0.234	fear
dependence	0.234	fear
scaffold	0.234	fear
shrink	0.234	fear
rekindle	0.234	fear
overdrive	0.234	fear
bee	0.234	fear
sleepless	0.234	fear
inequality	0.234	fear
pinion	0.234	fear
finalized	0.234	fear
chicken	0.234	fear
difficulty	0.234	fear
instinctive	0.234	fear
discontent	0.234	fear
shelters	0.234	fear
verge	0.234	fear
aaaah	0.234	fear
buzz	0.234	fear
thatmoment	0.234	fear
rushing	0.233	fear
overslept	0.226	fear
default	0.226	fear
confessional	0.225	fear
impatient	0.224	fear
aga	0.219	fear
unequal	0.219	fear
jungle	0.219	fear
thrill	0.219	fear
bait	0.219	fear
immigrant	0.219	fear
waver	0.219	fear
veer	0.219	fear
lastminute	0.219	fear
fingerscrossed	0.219	fear
whatif	0.219	fear
stingy	0.219	fear
blues	0.219	fear
tactics	0.219	fear
revelations	0.219	fear
sweat	0.219	fear
cane	0.219	fear
heft	0.219	fear
overtired	0.218	fear
prognosis	0.217	fear
alertness	0.216	fear
hyped	0.214	fear
wishmeluck	0.212	fear
somuchtodo	0.212	fear
toomuchtodo	0.212	fear
tryouts	0.210	fear
clowns	0.207	fear
fluctuation	0.204	fear
examination	0.204	fear
restless	0.204	fear
intimacy	0.203	fear
quail	0.203	fear
overcome	0.203	fear
acceptances	0.203	fear
birth	0.203	fear
phew	0.203	fear
mighty	0.203	fear
recesses	0.203	fear
uphill	0.203	fear
help	0.203	fear
cross	0.203	fear
hurry	0.203	fear
fearless	0.200	fear
change	0.198	fear
ware	0.198	fear
withstand	0.197	fear
asap	0.191	fear
overcoming	0.188	fear
waitinggame	0.188	fear
intrigue	0.188	fear
stillness	0.188	fear
owing	0.188	fear
cautiously	0.188	fear
watch	0.188	fear
attorney	0.188	fear
bug	0.188	fear
fragile	0.188	fear
unorganised	0.188	fear
rule	0.188	fear
advance	0.188	fear
knots	0.188	fear
tract	0.188	fear
heighten	0.188	fear
gnome	0.188	fear
deadlines	0.188	fear
elf	0.185	fear
stillwaiting	0.184	fear
lonely	0.183	fear
slippery	0.181	fear
interview	0.180	fear
everyman	0.178	fear
speculation	0.176	fear
needtoknow	0.173	fear
surprise	0.172	fear
humanrights	0.172	fear
shell	0.172	fear
assessment	0.172	fear
worship	0.172	fear
chaff	0.172	fear
composure	0.172	fear
settlor	0.172	fear
interviewer	0.172	fear
unsure	0.172	fear
competition	0.172	fear
regulatory	0.172	fear
readytogo	0.172	fear
birch	0.172	fear
rod	0.172	fear
checkpoint	0.172	fear
uncertain	0.172	fear
less	0.167	fear
coy	0.162	fear
iris	0.160	fear
intimately	0.156	fear
sly	0.156	fear
hearing	0.156	fear
retirement	0.156	fear
legalized	0.156	fear
bases	0.156	fear
ceasefire	0.156	fear
audition	0.156	fear
needit	0.156	fear
medication	0.156	fear
countdown	0.156	fear
courageous	0.154	fear
overthinker	0.153	fear
backtrack	0.151	fear
dawned	0.150	fear
censor	0.149	fear
bailiff	0.147	fear
syllabus	0.147	fear
gent	0.141	fear
newcomer	0.141	fear
rationality	0.141	fear
imagination	0.141	fear
cove	0.141	fear
waiting	0.141	fear
caricature	0.141	fear
delay	0.141	fear
eventuality	0.141	fear
validity	0.141	fear
shy	0.140	fear
alreadyyyyy	0.140	fear
symptom	0.133	fear
excite	0.132	fear
raccoon	0.127	fear
campaigning	0.125	fear
clown	0.125	fear
marry	0.125	fear
gameday	0.125	fear
hawk	0.125	fear
soready	0.125	fear
sprite	0.125	fear
tryout	0.125	fear
prevent	0.125	fear
needtorelax	0.125	fear
swim	0.125	fear
ahhh	0.125	fear
pharmacy	0.123	fear
sag	0.123	fear
policeman	0.121	fear
dreamt	0.111	fear
lace	0.111	fear
knot	0.109	fear
incase	0.109	fear
holiness	0.109	fear
confidence	0.109	fear
notoriety	0.109	fear
homework	0.109	fear
bigday	0.109	fear
weight	0.109	fear
pray	0.109	fear
destination	0.109	fear
slender	0.100	fear
undecided	0.098	fear
sympathetic	0.097	fear
god	0.094	fear
case	0.094	fear
confident	0.094	fear
helmet	0.094	fear
poise	0.094	fear
treat	0.094	fear
locate	0.094	fear
loyal	0.094	fear
grades	0.094	fear
counsellor	0.094	fear
northeast	0.088	fear
graduation	0.078	fear
compassion	0.078	fear
nurture	0.078	fear
graded	0.075	fear
mum	0.070	fear
infant	0.067	fear
youth	0.062	fear
civilians	0.062	fear
parade	0.062	fear
gradschool	0.062	fear
cash	0.062	fear
civilian	0.062	fear
cloudiness	0.062	fear
journey	0.062	fear
guidelines	0.062	fear
soulmate	0.062	fear
opera	0.057	fear
synonymous	0.056	fear
honest	0.047	fear
praying	0.047	fear
intelligence	0.038	fear
volunteer	0.031	fear
lines	0.031	fear
romance	0.031	fear
obey	0.016	fear
heartbreaking	0.969	sadness
mourning	0.969	sadness
tragic	0.961	sadness
holocaust	0.953	sadness
suicidal	0.941	sadness
misery	0.938	sadness
massacre	0.931	sadness
euthanasia	0.927	sadness
depression	0.925	sadness
fatal	0.922	sadness
bereavement	0.922	sadness
grieving	0.922	sadness
bereaved	0.920	sadness
devastation	0.917	sadness
death	0.915	sadness
suicide	0.912	sadness
devastated	0.912	sadness
catastrophe	0.911	sadness
horrifying	0.907	sadness
tragedy	0.906	sadness
died	0.906	sadness
depressing	0.906	sadness
anguish	0.902	sadness
agony	0.900	sadness
deadly	0.898	sadness
weeping	0.896	sadness
deceased	0.891	sadness
stillbirth	0.891	sadness
murderer	0.877	sadness
cancer	0.875	sadness
dying	0.875	sadness
rape	0.875	sadness
devastating	0.875	sadness
sadness	0.864	sadness
morbidity	0.864	sadness
execution	0.859	sadness
abandonment	0.859	sadness
crucifixion	0.859	sadness
grief	0.859	sadness
depressed	0.859	sadness
perish	0.859	sadness
traumatic	0.859	sadness
atrocity	0.859	sadness
cadaver	0.853	sadness
betrayed	0.848	sadness
treachery	0.848	sadness
funeral	0.844	sadness
grieve	0.844	sadness
murderous	0.844	sadness
miserable	0.844	sadness
hopelessness	0.844	sadness
persecution	0.844	sadness
sad	0.844	sadness
suffering	0.844	sadness
sorrow	0.844	sadness
homicide	0.844	sadness
slaughtering	0.844	sadness
destroyed	0.844	sadness
horrific	0.844	sadness
unhappiness	0.839	sadness
crippled	0.836	sadness
bloodshed	0.836	sadness
pained	0.833	sadness
manslaughter	0.833	sadness
carnage	0.833	sadness
unbearable	0.830	sadness
stillborn	0.830	sadness
torment	0.828	sadness
helplessness	0.828	sadness
annihilation	0.828	sadness
slavery	0.828	sadness
annihilated	0.828	sadness
enslaved	0.828	sadness
casualty	0.828	sadness
horrors	0.828	sadness
murder	0.828	sadness
mourn	0.828	sadness
morbid	0.828	sadness
abandoned	0.828	sadness
sickness	0.828	sadness
mutilation	0.828	sadness
miscarriage	0.824	sadness
starvation	0.819	sadness
cruelty	0.812	sadness
childloss	0.812	sadness
disgrace	0.812	sadness
killing	0.812	sadness
oppression	0.812	sadness
terrorism	0.812	sadness
failure	0.812	sadness
famine	0.812	sadness
heartache	0.812	sadness
burial	0.812	sadness
saddens	0.812	sadness
distraught	0.812	sadness
despair	0.812	sadness
sadly	0.812	sadness
mournful	0.812	sadness
bloody	0.806	sadness
inhumanity	0.804	sadness
perishing	0.804	sadness
malignancy	0.803	sadness
mortification	0.802	sadness
kill	0.797	sadness
lifeless	0.797	sadness
dreadful	0.797	sadness
slave	0.797	sadness
desolation	0.797	sadness
devastate	0.797	sadness
perished	0.797	sadness
assassination	0.797	sadness
mortuary	0.797	sadness
dreadfully	0.797	sadness
leukemia	0.797	sadness
sarcoma	0.797	sadness
lethal	0.797	sadness
gallows	0.797	sadness
brokenheart	0.792	sadness
banishment	0.790	sadness
afflict	0.789	sadness
disheartened	0.788	sadness
bury	0.781	sadness
desecration	0.781	sadness
demoralized	0.781	sadness
tumour	0.781	sadness
terrorize	0.781	sadness
crying	0.781	sadness
heartbreak	0.781	sadness
die	0.773	sadness
lynch	0.773	sadness
sufferer	0.770	sadness
loneliness	0.766	sadness
abortion	0.766	sadness
dismemberment	0.766	sadness
diseased	0.766	sadness
fearful	0.766	sadness
destitute	0.766	sadness
torture	0.766	sadness
slayer	0.766	sadness
cemetery	0.766	sadness
fatality	0.766	sadness
condolence	0.766	sadness
doomed	0.766	sadness
painfully	0.758	sadness
moribund	0.758	sadness
disaster	0.758	sadness
depress	0.755	sadness
condemnation	0.754	sadness
victimized	0.750	sadness
obliteration	0.750	sadness
depressive	0.750	sadness
terrorist	0.750	sadness
guilt	0.750	sadness
incest	0.750	sadness
pandemic	0.750	sadness
unhappy	0.750	sadness
defeated	0.750	sadness
painful	0.750	sadness
deplorable	0.750	sadness
damnation	0.750	sadness
doomsday	0.750	sadness
corpse	0.750	sadness
abduction	0.750	sadness
sorrowful	0.750	sadness
regretful	0.750	sadness
desperation	0.750	sadness
cry	0.750	sadness
sickening	0.750	sadness
hemorrhage	0.750	sadness
unfairness	0.745	sadness
molestation	0.744	sadness
exile	0.742	sadness
abysmal	0.742	sadness
hellish	0.738	sadness
exterminate	0.736	sadness
disgraced	0.734	sadness
homeless	0.734	sadness
destroying	0.734	sadness
battered	0.734	sadness
betrayal	0.734	sadness
horrid	0.734	sadness
warfare	0.734	sadness
assassin	0.734	sadness
disastrous	0.734	sadness
lonesome	0.734	sadness
miserably	0.734	sadness
morgue	0.734	sadness
slaughter	0.734	sadness
earthquake	0.734	sadness
orphan	0.734	sadness
listless	0.729	sadness
grave	0.727	sadness
emptiness	0.727	sadness
unfortunately	0.727	sadness
alienated	0.727	sadness
fraught	0.722	sadness
forsaken	0.719	sadness
leprosy	0.719	sadness
cried	0.719	sadness
paralysis	0.719	sadness
malicious	0.719	sadness
ashamed	0.719	sadness
woe	0.719	sadness
danger	0.719	sadness
disheartening	0.719	sadness
heartless	0.719	sadness
violently	0.719	sadness
cripple	0.719	sadness
horror	0.719	sadness
atrophy	0.719	sadness
missing	0.719	sadness
emaciated	0.719	sadness
pain	0.719	sadness
demise	0.717	sadness
sickly	0.712	sadness
disgruntled	0.712	sadness
violence	0.712	sadness
rejected	0.712	sadness
torn	0.710	sadness
calamity	0.709	sadness
